Packet Count, Jetson Time
449,1679939660.550454
450,1679939660.5696492
451,1679939660.5702832
452,1679939660.5930884
453,1679939660.5932837
454,1679939660.6105573
455,1679939660.6107347
456,1679939660.631236
457,1679939660.6314063
458,1679939660.659676
459,1679939660.6598575
460,1679939660.659999
461,1679939660.6790912
462,1679939660.679406
463,1679939660.699083
464,1679939660.6992545
465,1679939660.719785
466,1679939660.720098
467,1679939660.7415867
468,1679939660.7417712
469,1679939660.760497
470,1679939660.7606738
471,1679939660.7790308
472,1679939660.7791736
473,1679939660.779335
474,1679939660.799806
475,1679939660.8001034
476,1679939660.820092
477,1679939660.82029
478,1679939660.8395925
479,1679939660.839732
480,1679939660.8602304
481,1679939660.8603687
482,1679939660.8813443
483,1679939660.8815036
484,1679939660.908702
485,1679939660.9088633
486,1679939660.909031
487,1679939660.9295657
488,1679939660.929722
489,1679939660.95002
490,1679939660.9502368
491,1679939660.9706352
492,1679939660.9707692
493,1679939660.9878564
494,1679939660.9880457
495,1679939660.9881968
496,1679939661.8563037
497,1679939661.871222
498,1679939661.2937236
499,1679939661.2947829
500,1679939661.4981658
501,1679939661.5000956
502,1679939661.695822
503,1679939661.6972792
504,1679939661.8990335
505,1679939661.9003568
506,1679939661.110515
507,1679939661.1106613
508,1679939661.1310284
509,1679939661.1311424
510,1679939661.158533
511,1679939661.158644
512,1679939661.1588123
513,1679939661.1791413
514,1679939661.1792643
515,1679939661.1997242
516,1679939661.1998827
517,1679939661.2196884
518,1679939661.2198372
519,1679939661.23967
520,1679939661.240026
521,1679939661.2401347
522,1679939661.259482
523,1679939661.2596164
524,1679939661.28009
525,1679939661.2802114
526,1679939661.2989185
527,1679939661.2990448
528,1679939661.3200629
529,1679939661.3201864
530,1679939661.341009
531,1679939661.3411856
532,1679939661.3608038
533,1679939661.360971
534,1679939661.3805194
535,1679939661.3806703
536,1679939661.4094386
537,1679939661.409722
538,1679939661.4098604
539,1679939661.4292536
540,1679939661.429427
541,1679939661.449834
542,1679939661.4500284
543,1679939661.469932
544,1679939661.4700768
545,1679939661.4885132
546,1679939661.4886374
547,1679939661.4887524
548,1679939661.5097663
549,1679939661.5099158
550,1679939661.5287185
551,1679939661.5289388
552,1679939661.5492532
553,1679939661.5494692
554,1679939661.5700345
555,1679939661.5703964
556,1679939661.5913622
557,1679939661.59148
558,1679939661.6110358
559,1679939661.6111677
560,1679939661.630734
561,1679939661.6308932
562,1679939661.659227
563,1679939661.659348
564,1679939661.6594028
565,1679939661.679482
566,1679939661.6795917
567,1679939661.6990092
568,1679939661.6991758
569,1679939661.7206764
570,1679939661.7207768
571,1679939661.741728
572,1679939661.7418582
573,1679939661.7603185
574,1679939661.7604775
575,1679939661.7795804
576,1679939661.779672
577,1679939661.7798135
578,1679939661.7995589
579,1679939661.799712
580,1679939661.8207457
581,1679939661.820869
582,1679939661.8400264
583,1679939661.84015
584,1679939661.860482
585,1679939661.8606548
586,1679939661.8885016
587,1679939661.888696
588,1679939661.8887873
589,1679939661.9091868
590,1679939661.909366
591,1679939661.9287453
592,1679939661.9289129
593,1679939661.949214
594,1679939661.9493887
595,1679939661.9708762
596,1679939661.971014
597,1679939661.990322
598,1679939661.9904366
599,1679939662.9485724
600,1679939662.9629374
601,1679939662.101658
602,1679939662.2994432
603,1679939662.3006155
604,1679939662.50763
605,1679939662.5088935
606,1679939662.7016888
607,1679939662.7028403
608,1679939662.9072237
609,1679939662.9092443
610,1679939662.1111124
611,1679939662.1112628
612,1679939662.1391578
613,1679939662.1393187
614,1679939662.1394615
615,1679939662.1585982
616,1679939662.158766
617,1679939662.1791348
618,1679939662.1792684
619,1679939662.199598
620,1679939662.1997712
