Timestamps,Roll_N,Pitch_E,Yaw_U,Latitude,Longitude,Altitude
1679940428.161151,-19.92626583070745,1.9850516491393209,13.735767711645991,12.791229255992562,80.18974303934209,-47.60995154869418
1679940428.494336,-19.926265323485314,1.9850538447278834,13.753660959725051,12.791229256065291,80.18974303926751,-47.609924573118214
1679940428.82771,-19.926267067887053,1.9850559863898418,13.763380323379236,12.79122925614062,80.18974303919435,-47.609897639616996
1679940429.160922,-19.9262655637539,1.9850575914307151,13.761423195709373,12.791229256277994,80.18974303910338,-47.60987463113561
1679940429.494373,-19.926261610747552,1.9850577542239303,13.755856394855268,12.791229256457079,80.18974303900235,-47.609856053118286
1679940429.82761,-19.926256086197863,1.985057702226562,13.744115660572666,12.791229256662055,80.18974303889792,-47.60984138310288
1679940430.160854,-19.926250747272068,1.985056783571822,13.730529940912774,12.791229256890366,80.18974303879249,-47.609831948504244
1679940430.49412,-19.926247132536712,1.9850565123691548,13.729174670040733,12.79122925708157,80.18974303868727,-47.60981521278892
1679940430.827359,-19.926240492469713,1.985055773232379,13.722582621144172,12.791229257273702,80.18974303858299,-47.60979854091349
1679940431.160642,-19.92624064051204,1.9850568797441313,13.722962055765457,12.791229257387455,80.18974303849598,-47.609773837211264
1679940431.49386,-19.92623933758004,1.985057757835033,13.727849017461788,12.79122925752132,80.18974303840247,-47.60975069428023
1679940431.827356,-19.926242942768308,1.9850581639304696,13.73430864556501,12.791229257647464,80.18974303831125,-47.60972692180647
1679940432.160541,-19.926244124286463,1.9850587822433299,13.72932988251809,12.791229257805902,80.1897430382137,-47.60970598008787
1679940432.493792,-19.92624302613031,1.9850582421215608,13.723510949435111,12.791229257985409,80.18974303811152,-47.60968752627213
1679940432.827188,-19.926238534643446,1.9850592581909672,13.71889294438037,12.791229258153722,80.18974303801117,-47.60966771443238
1679940433.160303,-19.92623570527033,1.9850606260339019,13.711869970551994,12.791229258290473,80.18974303791862,-47.609644735548876
1679940433.493586,-19.926230986255636,1.9850611050831375,13.705742327594182,12.791229258460383,80.18974303781778,-47.60962511937714
1679940433.826963,-19.926229554632755,1.9850614239016686,13.706744355186462,12.791229258619637,80.18974303771765,-47.60960439737207
1679940434.160282,-19.92623026387069,1.985062000355863,13.710396210522587,12.791229258750107,80.18974303762437,-47.609581006946044
1679940434.49366,-19.926234602144387,1.985063485101198,13.717132580044423,12.79122925885033,80.18974303753983,-47.60955549546338
1679940434.826786,-19.926235668850232,1.9850637563821638,13.720063118051655,12.791229258981073,80.18974303744719,-47.609532094480016
1679940435.160116,-19.926237800515565,1.9850614340994703,13.729746534214406,12.791229259177037,80.18974303733864,-47.60951631079856
1679940435.493326,-19.92623495704691,1.985059935515767,13.729892258403428,12.791229259384176,80.1897430372309,-47.609502310274905
1679940435.826676,-19.92622905770457,1.9850592219570482,13.712074124299368,12.791229259607631,80.18974303712632,-47.60949144880736
1679940436.160034,-19.92622137880088,1.9850592285680129,13.687465998266175,12.791229259841483,80.18974303702416,-47.60948334647391
1679940436.493265,-19.926217823342242,1.9850610796826715,13.672145256962514,12.791229259973587,80.18974303693236,-47.60945999999059
1679940436.826585,-19.926211550500227,1.9850625251637533,13.66710915858035,12.79122926012707,80.18974303683316,-47.60943869915536
1679940437.159762,-19.926210212930954,1.9850640074420205,13.677917854459457,12.791229260231471,80.18974303674382,-47.60941358785276
1679940437.493158,-19.926213592248835,1.9850660136233782,13.687618409964193,12.79122926030603,80.18974303666478,-47.6093868233525
